"","Vez","Codigo","C1","C2","EP","C3","C4","EF","Prom","Sust","Final","Curso","Ciclo"
"1","1","136943",18,13,9,16,10,12,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
"2","1","138904",13,3,10,11,7,2,7,"ND",7,"Introduccion a la Ingenieria de Sistemas",1
"3","1","139083",18,17,13,15,20,11,15,"ND",15,"Introduccion a la Ingenieria de Sistemas",1
"4","1","135888",13,15,8,12,15,8,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"5","1","124610",0,3,7,9,7,8,7,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"6","1","136749",16,17,11,15,16,8,13,"ND",13,"Introduccion a la Ingenieria de Sistemas",1
"7","1","138223",9,10,6,15,0,8,7,"8",8,"Introduccion a la Ingenieria de Sistemas",1
"8","1","140684",15,5,10,11,13,10,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"9","1","139429",17,11,4,17,14,7,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"10","1","139655",14,18,6,15,8,13,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"11","1","134691",17,8,8,15,6,14,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"12","1","139558",13,11,7,11,8,13,10,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"13","1","137589",10,0,6,15,7,6,7,"ND",7,"Introduccion a la Ingenieria de Sistemas",1
"14","1","138042",15,12,8,15,4,10,9,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"15","1","136442",19,16,14,10,3,12,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"16","1","140823",15,0,8,12,14,0,8,"ND",8,"Introduccion a la Ingenieria de Sistemas",1
"17","1","136190",17,9,12,0,0,0,4,"ND",4,"Introduccion a la Ingenieria de Sistemas",1
"18","1","138538",16,3,0,18,0,8,6,"ND",6,"Introduccion a la Ingenieria de Sistemas",1
"19","1","139947",16,8,11,12,14,13,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
"20","1","136852",18,17,16,18,20,15,17,"ND",17,"Introduccion a la Ingenieria de Sistemas",1
"21","1","122718",15,4,4,11,10,13,9,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"22","1","136804",13,2,5,11,0,0,4,"ND",4,"Introduccion a la Ingenieria de Sistemas",1
"23","1","137803",19,12,11,18,9,7,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"24","1","138349",17,12,8,15,16,10,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
"25","1","136583",16,0,10,9,0,0,4,"ND",4,"Introduccion a la Ingenieria de Sistemas",1
"26","1","136046",17,5,6,17,6,16,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"27","1","140166",16,11,7,13,0,8,7,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"28","1","137583",17,4,11,15,17,7,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
"29","1","133300",8,1,7,15,4,8,7,"11",11,"Introduccion a la Ingenieria de Sistemas",1
"30","1","138048",17,12,6,16,14,6,11,"ND",11,"Introduccion a la Ingenieria de Sistemas",1
"31","1","135940",14,11,9,16,15,8,12,"ND",12,"Introduccion a la Ingenieria de Sistemas",1
